Order ID,Shipment ID,Delivery Status,Delivery Partner
CA-2017-119004,SHIP00107,Delivered,DTDC
CA-2017-119004,SHIP00108,Cancelled,Delhivery
CA-2017-119004,SHIP00109,Delivered,India Post
CA-2015-129476,SHIP00110,Delivered,India Post
CA-2017-146780,SHIP00111,Delivered,Delhivery
CA-2016-128867,SHIP00112,Delivered,DTDC
CA-2016-128867,SHIP00113,Returned,India Post
CA-2014-115259,SHIP00114,Delivered,XpressBees
CA-2014-115259,SHIP00115,Delivered,DTDC
CA-2014-115259,SHIP00116,Delivered,Ecom Express
CA-2014-115259,SHIP00117,Delivered,India Post
CA-2015-110457,SHIP00118,Delivered,Delhivery
US-2015-136476,SHIP00119,In Transit,India Post
CA-2016-103730,SHIP00120,Delivered,Ecom Express
CA-2016-103730,SHIP00121,In Transit,Ecom Express
CA-2016-103730,SHIP00122,Cancelled,Blue Dart
CA-2016-103730,SHIP00123,Delivered,DTDC
CA-2016-103730,SHIP00124,Delivered,Delhivery
US-2014-152030,SHIP00125,In Transit,Blue Dart
US-2014-134614,SHIP00126,Delivered,Blue Dart
US-2017-107272,SHIP00127,Delivered,DTDC
US-2017-107272,SHIP00128,In Transit,Blue Dart
US-2016-125969,SHIP00129,Delivered,Blue Dart
US-2016-125969,SHIP00130,Delivered,Blue Dart
US-2017-164147,SHIP00131,Cancelled,Blue Dart
US-2017-164147,SHIP00132,Delivered,DTDC
US-2017-164147,SHIP00133,Returned,XpressBees
CA-2016-145583,SHIP00134,Returned,XpressBees
CA-2016-145583,SHIP00135,Delivered,Delhivery
CA-2016-145583,SHIP00136,Delivered,XpressBees
CA-2016-145583,SHIP00137,Delivered,Blue Dart
CA-2016-145583,SHIP00138,Delivered,XpressBees
CA-2016-145583,SHIP00139,Delivered,India Post
CA-2016-145583,SHIP00140,Delivered,Delhivery
CA-2016-110366,SHIP00141,Delivered,India Post
CA-2017-106180,SHIP00142,Delivered,DTDC
CA-2017-106180,SHIP00143,In Transit,Ecom Express
CA-2017-106180,SHIP00144,Delivered,India Post
CA-2017-155376,SHIP00145,Delivered,XpressBees
CA-2015-110744,SHIP00146,In Transit,Delhivery
CA-2014-110072,SHIP00147,Delivered,India Post
CA-2016-114489,SHIP00148,Returned,India Post
CA-2016-114489,SHIP00149,In Transit,Ecom Express
CA-2016-114489,SHIP00150,Delivered,Blue Dart
CA-2016-114489,SHIP00151,Delivered,Ecom Express
CA-2016-158834,SHIP00152,Delivered,Delhivery
CA-2016-158834,SHIP00153,Delivered,Delhivery
CA-2015-124919,SHIP00154,Delivered,Delhivery
CA-2015-124919,SHIP00155,Delivered,XpressBees
CA-2015-124919,SHIP00156,Delivered,India Post
CA-2015-118948,SHIP00157,Delivered,Blue Dart
CA-2014-104269,SHIP00158,Delivered,India Post
CA-2016-114104,SHIP00159,In Transit,DTDC
CA-2016-114104,SHIP00160,Delivered,Delhivery
CA-2016-162733,SHIP00161,Delivered,Delhivery
CA-2015-119697,SHIP00162,Delivered,Ecom Express
CA-2016-154508,SHIP00163,Delivered,Delhivery
CA-2016-113817,SHIP00164,In Transit,Delhivery
CA-2014-139892,SHIP00165,Delivered,DTDC
CA-2014-139892,SHIP00166,Delivered,DTDC
CA-2014-139892,SHIP00167,Returned,Delhivery
CA-2014-139892,SHIP00168,Cancelled,XpressBees
CA-2014-139892,SHIP00169,Delivered,Delhivery
CA-2014-139892,SHIP00170,Returned,Blue Dart
CA-2014-139892,SHIP00171,Delivered,India Post
CA-2014-118962,SHIP00172,In Transit,India Post
CA-2014-118962,SHIP00173,Delivered,Blue Dart
CA-2014-118962,SHIP00174,Delivered,XpressBees
US-2014-100853,SHIP00175,Delivered,India Post
US-2014-100853,SHIP00176,Delivered,DTDC
US-2017-152366,SHIP00177,Delivered,Blue Dart
US-2015-101511,SHIP00178,Delivered,Blue Dart
US-2015-101511,SHIP00179,Delivered,XpressBees
CA-2015-137225,SHIP00180,Delivered,Delhivery
CA-2014-166191,SHIP00181,Cancelled,Delhivery
CA-2014-166191,SHIP00182,Returned,XpressBees
CA-2014-158274,SHIP00183,In Transit,Ecom Express
CA-2014-158274,SHIP00184,Delivered,India Post
CA-2014-158274,SHIP00185,Delivered,XpressBees
CA-2016-105018,SHIP00186,Delivered,India Post
CA-2014-123260,SHIP00187,Returned,XpressBees
CA-2016-157000,SHIP00188,Delivered,XpressBees
CA-2016-157000,SHIP00189,Delivered,XpressBees
CA-2015-102281,SHIP00190,Delivered,Ecom Express
CA-2015-102281,SHIP00191,Delivered,Blue Dart
CA-2015-102281,SHIP00192,Delivered,Delhivery
CA-2015-102281,SHIP00193,Delivered,Ecom Express
CA-2015-102281,SHIP00194,Delivered,DTDC
CA-2015-131457,SHIP00195,Delivered,XpressBees
CA-2014-140004,SHIP00196,In Transit,Blue Dart
CA-2014-140004,SHIP00197,Delivered,India Post
CA-2017-107720,SHIP00198,Returned,XpressBees
US-2017-124303,SHIP00199,Delivered,XpressBees
US-2017-124303,SHIP00200,Delivered,Delhivery
CA-2017-105074,SHIP00201,In Transit,Ecom Express
CA-2014-133690,SHIP00202,In Transit,DTDC
CA-2014-133690,SHIP00203,Cancelled,DTDC
US-2017-116701,SHIP00204,Delivered,Blue Dart
CA-2017-126382,SHIP00205,Delivered,India Post
CA-2017-108329,SHIP00206,Cancelled,Delhivery
CA-2017-135860,SHIP00207,Delivered,Delhivery
CA-2017-135860,SHIP00208,Returned,Blue Dart
CA-2017-135860,SHIP00209,Delivered,DTDC
CA-2017-135860,SHIP00210,Delivered,DTDC
CA-2017-135860,SHIP00211,Cancelled,Blue Dart
CA-2015-101007,SHIP00212,In Transit,Delhivery
CA-2015-146262,SHIP00213,Delivered,Ecom Express
CA-2015-146262,SHIP00214,Delivered,Delhivery
CA-2015-146262,SHIP00215,Cancelled,Delhivery
CA-2015-146262,SHIP00216,Cancelled,India Post
CA-2015-146262,SHIP00217,Delivered,Delhivery
CA-2016-130162,SHIP00218,Delivered,India Post
CA-2016-130162,SHIP00219,Delivered,XpressBees
CA-2015-169397,SHIP00220,Delivered,Ecom Express
CA-2015-169397,SHIP00221,Delivered,India Post
CA-2015-169397,SHIP00222,Delivered,Delhivery
CA-2015-169397,SHIP00223,Delivered,DTDC
CA-2015-169397,SHIP00224,Delivered,DTDC
CA-2015-169397,SHIP00225,Delivered,XpressBees
CA-2015-163055,SHIP00226,Cancelled,Delhivery
CA-2015-163055,SHIP00227,Delivered,XpressBees
CA-2015-163055,SHIP00228,Delivered,Ecom Express
US-2015-145436,SHIP00229,Delivered,Ecom Express
US-2015-145436,SHIP00230,Returned,Delhivery
US-2014-156216,SHIP00231,In Transit,Ecom Express
US-2017-100930,SHIP00232,Delivered,Delhivery
US-2017-100930,SHIP00233,Cancelled,DTDC
US-2017-100930,SHIP00234,In Transit,DTDC
US-2017-100930,SHIP00235,Cancelled,India Post
US-2017-100930,SHIP00236,Delivered,DTDC
CA-2017-160514,SHIP00237,Delivered,XpressBees
CA-2016-157749,SHIP00238,In Transit,Ecom Express
CA-2016-157749,SHIP00239,Delivered,XpressBees
CA-2016-157749,SHIP00240,Delivered,India Post
CA-2016-157749,SHIP00241,Delivered,Blue Dart
CA-2016-157749,SHIP00242,Cancelled,Blue Dart
CA-2016-157749,SHIP00243,In Transit,DTDC
CA-2016-157749,SHIP00244,Cancelled,DTDC
CA-2014-131926,SHIP00245,Delivered,Delhivery
CA-2014-131926,SHIP00246,Delivered,XpressBees
CA-2014-131926,SHIP00247,Delivered,XpressBees
CA-2014-131926,SHIP00248,Delivered,Delhivery
CA-2014-131926,SHIP00249,Delivered,Delhivery
CA-2016-154739,SHIP00250,Cancelled,Delhivery
CA-2016-145625,SHIP00251,Delivered,DTDC
CA-2016-145625,SHIP00252,Delivered,Blue Dart
CA-2016-146941,SHIP00253,Delivered,XpressBees
CA-2016-146941,SHIP00254,Delivered,Blue Dart
US-2015-159982,SHIP00255,Delivered,Blue Dart
US-2015-159982,SHIP00256,Delivered,DTDC
US-2015-159982,SHIP00257,Delivered,DTDC
US-2015-159982,SHIP00258,Delivered,India Post
CA-2017-163139,SHIP00259,Delivered,Blue Dart
CA-2017-163139,SHIP00260,In Transit,DTDC
CA-2017-163139,SHIP00261,Delivered,Ecom Express
US-2017-155299,SHIP00262,Delivered,XpressBees
US-2014-106992,SHIP00263,Delivered,Delhivery
US-2014-106992,SHIP00264,Cancelled,Ecom Express
CA-2016-125318,SHIP00265,Returned,India Post
CA-2015-155040,SHIP00266,Delivered,India Post
CA-2017-136826,SHIP00267,Delivered,India Post
CA-2016-111010,SHIP00268,Delivered,Delhivery
US-2017-145366,SHIP00269,Delivered,XpressBees
US-2017-145366,SHIP00270,Returned,Ecom Express
CA-2017-163979,SHIP00271,Cancelled,Ecom Express
CA-2015-155334,SHIP00272,Delivered,Delhivery
CA-2015-155334,SHIP00273,Delivered,XpressBees
CA-2015-155334,SHIP00274,Delivered,XpressBees
CA-2017-118136,SHIP00275,Delivered,Delhivery
CA-2017-118136,SHIP00276,Cancelled,DTDC
CA-2017-132976,SHIP00277,Returned,Ecom Express
CA-2017-132976,SHIP00278,In Transit,DTDC
CA-2017-132976,SHIP00279,Delivered,India Post
CA-2017-132976,SHIP00280,Cancelled,Blue Dart
US-2015-161991,SHIP00281,Delivered,XpressBees
US-2015-161991,SHIP00282,Delivered,India Post
CA-2015-130890,SHIP00283,Delivered,DTDC
CA-2015-130883,SHIP00284,Delivered,XpressBees
CA-2015-130883,SHIP00285,Delivered,Ecom Express
CA-2015-130883,SHIP00286,Returned,India Post
CA-2016-112697,SHIP00287,Returned,DTDC
CA-2016-112697,SHIP00288,Delivered,XpressBees
CA-2016-112697,SHIP00289,Returned,Ecom Express
CA-2016-110772,SHIP00290,In Transit,DTDC
CA-2016-110772,SHIP00291,Cancelled,Blue Dart
CA-2016-110772,SHIP00292,Delivered,DTDC
CA-2016-110772,SHIP00293,Delivered,Ecom Express
CA-2014-111451,SHIP00294,Delivered,Delhivery
CA-2014-111451,SHIP00295,Delivered,Blue Dart
CA-2014-111451,SHIP00296,Delivered,Blue Dart
CA-2014-111451,SHIP00297,In Transit,DTDC
CA-2014-111451,SHIP00298,Delivered,DTDC
CA-2016-142545,SHIP00299,Delivered,XpressBees
CA-2016-142545,SHIP00300,Delivered,India Post
CA-2016-142545,SHIP00301,Delivered,DTDC
CA-2016-142545,SHIP00302,Delivered,DTDC
CA-2016-142545,SHIP00303,Delivered,XpressBees
US-2017-152380,SHIP00304,Delivered,DTDC
CA-2015-144253,SHIP00305,Delivered,Ecom Express
CA-2014-130960,SHIP00306,Delivered,Delhivery
CA-2014-111003,SHIP00307,Delivered,Blue Dart
CA-2014-111003,SHIP00308,Delivered,Blue Dart
CA-2017-126774,SHIP00309,Delivered,XpressBees
CA-2016-142902,SHIP00310,Returned,XpressBees
CA-2016-142902,SHIP00311,Returned,Delhivery
CA-2016-142902,SHIP00312,Delivered,DTDC
CA-2016-142902,SHIP00313,Delivered,Delhivery
CA-2014-120887,SHIP00314,Delivered,XpressBees
CA-2014-167850,SHIP00315,Delivered,India Post
CA-2014-167850,SHIP00316,Delivered,Delhivery
CA-2014-164259,SHIP00317,Delivered,Delhivery
CA-2014-164973,SHIP00318,Delivered,Blue Dart
CA-2014-164973,SHIP00319,Cancelled,XpressBees
CA-2014-164973,SHIP00320,Delivered,XpressBees
CA-2014-164973,SHIP00321,Delivered,DTDC
CA-2014-164973,SHIP00322,Delivered,Delhivery
CA-2014-156601,SHIP00323,In Transit,Delhivery
CA-2016-162138,SHIP00324,In Transit,India Post
CA-2016-162138,SHIP00325,Delivered,DTDC
CA-2017-153339,SHIP00326,In Transit,India Post
US-2016-141544,SHIP00327,Returned,Blue Dart
US-2016-141544,SHIP00328,Delivered,India Post
US-2016-141544,SHIP00329,Delivered,Delhivery
US-2016-141544,SHIP00330,Delivered,DTDC
US-2016-141544,SHIP00331,Returned,Ecom Express
US-2016-150147,SHIP00332,Delivered,DTDC
US-2016-150147,SHIP00333,Delivered,DTDC
US-2016-150147,SHIP00334,Delivered,Delhivery
CA-2015-137946,SHIP00335,Returned,India Post
CA-2015-137946,SHIP00336,Returned,DTDC
CA-2015-137946,SHIP00337,In Transit,Ecom Express
CA-2014-129924,SHIP00338,Delivered,India Post
CA-2014-129924,SHIP00339,Delivered,India Post
CA-2015-128167,SHIP00340,Delivered,India Post
CA-2014-122336,SHIP00341,Delivered,Ecom Express
CA-2014-122336,SHIP00342,In Transit,Delhivery
CA-2014-122336,SHIP00343,Cancelled,Delhivery
CA-2014-122336,SHIP00344,Delivered,Ecom Express
US-2015-120712,SHIP00345,Cancelled,Delhivery
CA-2017-169901,SHIP00346,In Transit,Blue Dart
CA-2017-134306,SHIP00347,Delivered,Blue Dart
CA-2017-134306,SHIP00348,Delivered,DTDC
CA-2017-134306,SHIP00349,Cancelled,Blue Dart
CA-2016-129714,SHIP00350,Delivered,DTDC
CA-2016-129714,SHIP00351,Delivered,Delhivery
CA-2016-129714,SHIP00352,Delivered,India Post
CA-2016-129714,SHIP00353,Delivered,XpressBees
CA-2016-129714,SHIP00354,Delivered,Ecom Express
CA-2016-138520,SHIP00355,Delivered,DTDC
CA-2016-138520,SHIP00356,Delivered,DTDC
CA-2016-138520,SHIP00357,Returned,Delhivery
CA-2016-138520,SHIP00358,Returned,Delhivery
CA-2016-130001,SHIP00359,Delivered,Blue Dart
CA-2017-155698,SHIP00360,Delivered,Blue Dart
CA-2017-155698,SHIP00361,In Transit,Blue Dart
CA-2017-144904,SHIP00362,Delivered,Ecom Express
CA-2017-144904,SHIP00363,Delivered,Ecom Express
CA-2017-144904,SHIP00364,Delivered,Ecom Express
CA-2017-144904,SHIP00365,Delivered,Blue Dart
CA-2014-123344,SHIP00366,In Transit,XpressBees
CA-2016-155516,SHIP00367,Delivered,Blue Dart
CA-2016-155516,SHIP00368,Cancelled,XpressBees
CA-2016-155516,SHIP00369,Returned,Delhivery
CA-2016-155516,SHIP00370,Cancelled,Ecom Express
CA-2017-104745,SHIP00371,Returned,Ecom Express
CA-2017-104745,SHIP00372,Delivered,XpressBees
US-2014-119137,SHIP00373,Delivered,Blue Dart
US-2014-119137,SHIP00374,Delivered,DTDC
US-2014-119137,SHIP00375,Delivered,Delhivery
US-2014-119137,SHIP00376,Delivered,DTDC
US-2016-134656,SHIP00377,Delivered,Delhivery
US-2017-134481,SHIP00378,Cancelled,DTDC
CA-2015-130792,SHIP00379,Delivered,Blue Dart
CA-2015-130792,SHIP00380,In Transit,Delhivery
CA-2015-130792,SHIP00381,In Transit,Ecom Express
CA-2016-134775,SHIP00382,Delivered,Delhivery
CA-2016-134775,SHIP00383,Cancelled,India Post
CA-2015-125395,SHIP00384,Delivered,Ecom Express
US-2015-168935,SHIP00385,Delivered,Delhivery
US-2015-168935,SHIP00386,Delivered,Blue Dart
CA-2015-122756,SHIP00387,Delivered,DTDC
CA-2015-122756,SHIP00388,Returned,Delhivery
CA-2014-115973,SHIP00389,Cancelled,Delhivery
CA-2017-101798,SHIP00390,Returned,XpressBees
CA-2017-101798,SHIP00391,Delivered,Ecom Express
US-2014-135972,SHIP00392,Delivered,Delhivery
US-2014-135972,SHIP00393,Delivered,DTDC
US-2014-134971,SHIP00394,In Transit,Ecom Express
CA-2017-102946,SHIP00395,Delivered,XpressBees
CA-2017-165603,SHIP00396,Delivered,India Post
CA-2017-165603,SHIP00397,Delivered,DTDC
CA-2015-122259,SHIP00398,Returned,Ecom Express
CA-2016-108987,SHIP00399,Delivered,Blue Dart
CA-2016-108987,SHIP00400,Delivered,XpressBees
CA-2016-108987,SHIP00401,Delivered,XpressBees
CA-2016-108987,SHIP00402,Delivered,Blue Dart
CA-2014-113166,SHIP00403,Delivered,India Post
CA-2014-155208,SHIP00404,Delivered,Blue Dart
CA-2017-117933,SHIP00405,Delivered,Ecom Express
CA-2017-117457,SHIP00406,Delivered,India Post
CA-2017-117457,SHIP00407,Delivered,XpressBees
CA-2017-117457,SHIP00408,Delivered,DTDC
CA-2017-117457,SHIP00409,Delivered,Blue Dart
CA-2017-117457,SHIP00410,Delivered,Ecom Express
CA-2017-117457,SHIP00411,In Transit,DTDC
CA-2017-117457,SHIP00412,Delivered,Ecom Express
CA-2017-117457,SHIP00413,Delivered,Ecom Express
CA-2017-117457,SHIP00414,Delivered,XpressBees
CA-2017-142636,SHIP00415,Delivered,Ecom Express
CA-2017-142636,SHIP00416,In Transit,Ecom Express
CA-2017-122105,SHIP00417,Delivered,XpressBees
CA-2016-148796,SHIP00418,Returned,Ecom Express
CA-2017-154816,SHIP00419,Delivered,DTDC
CA-2017-110478,SHIP00420,Delivered,Ecom Express
CA-2017-110478,SHIP00421,In Transit,Blue Dart
CA-2014-142048,SHIP00422,Delivered,XpressBees
CA-2017-125388,SHIP00423,Cancelled,Delhivery
CA-2017-125388,SHIP00424,Returned,Blue Dart
CA-2017-155705,SHIP00425,Cancelled,Blue Dart
CA-2017-149160,SHIP00426,Delivered,DTDC
CA-2017-149160,SHIP00427,Returned,India Post
CA-2014-101476,SHIP00428,Delivered,India Post
CA-2017-152275,SHIP00429,Returned,India Post
US-2016-123750,SHIP00430,Delivered,XpressBees
US-2016-123750,SHIP00431,Delivered,India Post
US-2016-123750,SHIP00432,Cancelled,DTDC
US-2016-123750,SHIP00433,Cancelled,XpressBees
CA-2016-127369,SHIP00434,Delivered,Delhivery
US-2014-150574,SHIP00435,Delivered,Ecom Express
US-2014-150574,SHIP00436,In Transit,Ecom Express
CA-2016-147375,SHIP00437,Returned,DTDC
CA-2016-147375,SHIP00438,Delivered,Blue Dart
CA-2017-130043,SHIP00439,Cancelled,India Post
CA-2017-157252,SHIP00440,In Transit,India Post
CA-2016-115756,SHIP00441,Delivered,Blue Dart
CA-2016-115756,SHIP00442,Returned,Blue Dart
CA-2016-115756,SHIP00443,Delivered,Blue Dart
CA-2016-115756,SHIP00444,Delivered,Delhivery
CA-2016-115756,SHIP00445,Delivered,Blue Dart
CA-2016-115756,SHIP00446,In Transit,Delhivery
CA-2017-154214,SHIP00447,Delivered,XpressBees
CA-2016-166674,SHIP00448,Cancelled,India Post
CA-2016-166674,SHIP00449,Returned,India Post
CA-2016-166674,SHIP00450,Delivered,DTDC
CA-2016-166674,SHIP00451,Delivered,XpressBees
CA-2016-166674,SHIP00452,Returned,India Post
CA-2016-166674,SHIP00453,Returned,Blue Dart
CA-2017-147277,SHIP00454,Delivered,XpressBees
CA-2017-147277,SHIP00455,Delivered,DTDC
CA-2016-100153,SHIP00456,Delivered,DTDC
US-2014-110674,SHIP00457,Delivered,XpressBees
US-2016-157945,SHIP00458,Delivered,DTDC
US-2016-157945,SHIP00459,Delivered,XpressBees
CA-2015-109638,SHIP00460,Delivered,XpressBees
CA-2015-109638,SHIP00461,Delivered,Delhivery
CA-2015-109638,SHIP00462,Delivered,Delhivery
CA-2016-109869,SHIP00463,In Transit,Blue Dart
CA-2016-109869,SHIP00464,Delivered,Delhivery
CA-2016-109869,SHIP00465,Delivered,Ecom Express
CA-2016-109869,SHIP00466,Delivered,Ecom Express
CA-2016-109869,SHIP00467,Delivered,Delhivery
US-2015-101399,SHIP00468,Delivered,XpressBees
CA-2017-154907,SHIP00469,Cancelled,Blue Dart
US-2016-100419,SHIP00470,Delivered,Ecom Express
CA-2015-154144,SHIP00471,Cancelled,XpressBees
CA-2014-144666,SHIP00472,Cancelled,XpressBees
CA-2014-144666,SHIP00473,Delivered,India Post
CA-2014-144666,SHIP00474,Delivered,Delhivery
CA-2014-144666,SHIP00475,Delivered,India Post
CA-2014-144666,SHIP00476,Delivered,Delhivery
CA-2014-144666,SHIP00477,Delivered,XpressBees
CA-2016-103891,SHIP00478,Delivered,India Post
CA-2016-152632,SHIP00479,Delivered,India Post
CA-2016-100790,SHIP00480,Returned,India Post
CA-2016-100790,SHIP00481,Cancelled,XpressBees
CA-2014-134677,SHIP00482,Delivered,DTDC
CA-2014-127691,SHIP00483,Delivered,Ecom Express
CA-2014-127691,SHIP00484,Delivered,Ecom Express
CA-2017-140963,SHIP00485,Delivered,DTDC
CA-2017-140963,SHIP00486,Delivered,XpressBees
CA-2017-140963,SHIP00487,Delivered,Delhivery
CA-2014-154627,SHIP00488,Delivered,DTDC
CA-2014-133753,SHIP00489,Cancelled,XpressBees
CA-2014-133753,SHIP00490,Delivered,Ecom Express
CA-2014-133753,SHIP00491,Delivered,Delhivery
CA-2014-113362,SHIP00492,Delivered,India Post
CA-2014-113362,SHIP00493,Delivered,Blue Dart
CA-2016-169166,SHIP00494,Delivered,Delhivery
US-2016-120929,SHIP00495,Delivered,Delhivery
CA-2015-134782,SHIP00496,Returned,XpressBees
CA-2016-126158,SHIP00497,Delivered,XpressBees
CA-2016-126158,SHIP00498,Delivered,Delhivery
CA-2016-126158,SHIP00499,Delivered,DTDC
CA-2016-126158,SHIP00500,Cancelled,Delhivery
US-2016-105578,SHIP00501,Delivered,Delhivery
US-2016-105578,SHIP00502,Delivered,India Post
US-2016-105578,SHIP00503,Delivered,XpressBees
US-2016-105578,SHIP00504,Delivered,India Post
US-2016-105578,SHIP00505,Delivered,Delhivery
CA-2017-134978,SHIP00506,In Transit,XpressBees
CA-2015-145352,SHIP00507,Cancelled,Blue Dart
CA-2015-145352,SHIP00508,Cancelled,XpressBees
CA-2015-145352,SHIP00509,Delivered,Delhivery
CA-2015-145352,SHIP00510,Delivered,Ecom Express
CA-2017-135307,SHIP00511,In Transit,Blue Dart
CA-2017-135307,SHIP00512,In Transit,Delhivery
CA-2016-106341,SHIP00513,Delivered,Delhivery
CA-2017-163405,SHIP00514,Delivered,XpressBees
CA-2017-163405,SHIP00515,Cancelled,Ecom Express
CA-2017-127432,SHIP00516,Delivered,Ecom Express
CA-2017-127432,SHIP00517,Delivered,Blue Dart
CA-2017-127432,SHIP00518,Delivered,XpressBees
CA-2017-127432,SHIP00519,Delivered,DTDC
CA-2015-157812,SHIP00520,Cancelled,XpressBees
CA-2015-157812,SHIP00521,In Transit,Blue Dart
CA-2015-157812,SHIP00522,Delivered,XpressBees
CA-2017-145142,SHIP00523,Returned,Ecom Express
US-2016-139486,SHIP00524,Delivered,Blue Dart
