Order ID,Order Date,Ship Date,Ship Mode,Customer ID
CA-2016-129903,12-01-16,12-04-16,Second Class,GZ-14470
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250
CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060
CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805
CA-2016-128867,11-03-16,11-10-16,Standard Class,CL-12565
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960
CA-2015-110457,03-02-15,03-06-15,Standard Class,DK-13090
US-2015-136476,04-05-15,04-10-15,Standard Class,GG-14650
CA-2016-103730,06-12-16,6/15/2016,First Class,SC-20725
US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180
US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165
US-2017-107272,11-05-17,11-12-17,Standard Class,TS-21610
US-2016-125969,11-06-16,11-10-16,Second Class,LS-16975
US-2017-164147,02-02-17,02-05-17,First Class,DW-13585
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
CA-2016-110366,09-05-16,09-07-16,Second Class,JD-15895
CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975
CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080
CA-2015-110744,09-07-15,09-12-15,Standard Class,HA-14920
CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680
CA-2016-114489,12-05-16,12-09-16,Standard Class,JE-16165
CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025
CA-2015-124919,5/31/2015,06-02-15,First Class,SP-20650
CA-2015-118948,5/28/2015,06-03-15,Standard Class,NK-18490
CA-2014-104269,03-01-14,03-06-14,Second Class,DB-13060
CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670
CA-2016-162733,05-11-16,05-12-16,First Class,TT-21070
CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960
CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900
CA-2016-113817,11-07-16,11-11-16,Standard Class,MJ-17740
CA-2014-139892,09-08-14,09-12-14,Standard Class,BM-11140
CA-2014-118962,08-05-14,08-09-14,Standard Class,CS-12130
US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400
US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500
US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745
CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640
CA-2014-166191,12-05-14,12-09-14,Second Class,DK-13150
CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675
CA-2016-105018,11/28/2016,12-02-16,Standard Class,SK-19990
CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290
CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360
CA-2015-102281,10-12-15,10/14/2015,First Class,MP-17470
CA-2015-131457,10/31/2015,11-06-15,Standard Class,MZ-17515
CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025
CA-2017-107720,11-06-17,11/13/2017,Standard Class,VM-21685
US-2017-124303,07-06-17,7/13/2017,Standard Class,FH-14365
CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305
CA-2014-133690,08-03-14,08-05-14,First Class,BS-11755
US-2017-116701,12/17/2017,12/21/2017,Second Class,LC-17140
CA-2017-126382,06-03-17,06-07-17,Standard Class,HK-14890
CA-2017-108329,12-09-17,12/14/2017,Standard Class,LE-16810
CA-2017-135860,12-01-17,12-07-17,Standard Class,JH-15985
CA-2015-101007,02-09-15,2/13/2015,Second Class,MS-17980
CA-2015-146262,01-02-15,01-09-15,Standard Class,VW-21775
CA-2016-130162,10/28/2016,11-01-16,Standard Class,JH-15910
CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
CA-2015-163055,08-09-15,8/16/2015,Standard Class,DS-13180
US-2015-145436,2/28/2015,03-04-15,Standard Class,VD-21670
US-2014-156216,9/13/2014,9/17/2014,Standard Class,EA-14035
US-2017-100930,04-07-17,04-12-17,Standard Class,CS-12400
CA-2017-160514,11-12-17,11/16/2017,Standard Class,DB-13120
CA-2016-157749,06-04-16,06-09-16,Second Class,KL-16645
CA-2014-131926,06-01-14,06-06-14,Second Class,DW-13480
CA-2016-154739,12-10-16,12/15/2016,Second Class,LH-17155
CA-2016-145625,09-11-16,9/17/2016,Standard Class,KC-16540
CA-2016-146941,12-10-16,12/13/2016,First Class,DL-13315
US-2015-159982,11/28/2015,12-04-15,Standard Class,DR-12880
CA-2017-163139,12-01-17,12-03-17,Second Class,CC-12670
US-2017-155299,06-08-17,06-12-17,Standard Class,Dl-13600
US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290
CA-2016-125318,06-06-16,6/13/2016,Standard Class,RC-19825
CA-2015-155040,11-10-15,11/15/2015,Standard Class,AH-10210
CA-2017-136826,6/16/2017,6/20/2017,Standard Class,CB-12535
CA-2016-111010,1/22/2016,1/28/2016,Standard Class,PG-18895
US-2017-145366,12-09-17,12/13/2017,Standard Class,CA-12310
CA-2017-163979,12/28/2017,01-02-18,Second Class,KH-16690
CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920
CA-2017-118136,9/16/2017,9/17/2017,First Class,BB-10990
CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495
US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725
CA-2015-130890,11-02-15,11-06-15,Standard Class,JO-15280
CA-2015-130883,9/26/2015,10-02-15,Standard Class,TB-21520
CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195
CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565
CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
CA-2016-142545,10/28/2016,11-03-16,Standard Class,JD-15895
US-2017-152380,11/19/2017,11/23/2017,Standard Class,JH-15910
CA-2015-144253,05-04-15,05-09-15,Second Class,AS-10225
CA-2014-130960,12/30/2014,01-04-15,Standard Class,KB-16600
CA-2014-111003,06-01-14,06-06-14,Standard Class,CR-12625
CA-2017-126774,4/15/2017,4/17/2017,First Class,SH-20395
CA-2016-142902,09-12-16,9/14/2016,Second Class,BP-11185
CA-2014-120887,9/27/2014,10-03-14,Standard Class,TS-21205
CA-2014-167850,08-09-14,8/16/2014,Standard Class,AG-10525
CA-2014-164259,12/28/2014,12/30/2014,First Class,SP-20860
CA-2014-164973,11-04-14,11-09-14,Standard Class,NM-18445
CA-2014-156601,9/19/2014,9/24/2014,Standard Class,FA-14230
CA-2016-162138,4/23/2016,4/27/2016,Standard Class,GK-14620
CA-2017-153339,11-03-17,11-05-17,Second Class,DJ-13510
US-2016-141544,8/30/2016,09-01-16,First Class,PO-18850
US-2016-150147,4/25/2016,4/29/2016,Second Class,JL-15850
CA-2015-137946,09-01-15,09-04-15,Second Class,DB-13615
CA-2014-129924,07-12-14,7/17/2014,Standard Class,AC-10420
CA-2015-128167,6/22/2015,6/26/2015,Second Class,KL-16645
CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895
US-2015-120712,12/20/2015,12/24/2015,Standard Class,CS-12130
CA-2017-169901,6/15/2017,6/19/2017,Standard Class,CC-12550
CA-2017-134306,07-08-17,07-12-17,Standard Class,TD-20995
CA-2016-129714,09-01-16,09-03-16,First Class,AB-10060
CA-2016-138520,04-08-16,4/13/2016,Standard Class,JL-15505
CA-2016-130001,4/23/2016,4/28/2016,Standard Class,HK-14890
CA-2017-155698,03-08-17,03-11-17,First Class,VB-21745
CA-2017-144904,9/25/2017,10-01-17,Standard Class,KW-16435
CA-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060
CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905
CA-2017-104745,5/29/2017,06-04-17,Standard Class,GT-14755
US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900
US-2016-134656,9/28/2016,10-01-16,First Class,MM-18280
US-2017-134481,8/27/2017,09-01-17,Standard Class,AR-10405
CA-2015-130792,4/28/2015,05-05-15,Standard Class,RA-19915
CA-2016-134775,10/28/2016,10/29/2016,First Class,AS-10285
CA-2015-125395,6/26/2015,6/29/2015,Second Class,LA-16780
US-2015-168935,11/27/2015,12-02-15,Standard Class,DO-13435
CA-2015-122756,12-03-15,12-07-15,Standard Class,DK-13225
CA-2014-115973,11/24/2014,11/26/2014,First Class,NG-18430
CA-2017-101798,12-11-17,12/15/2017,Standard Class,MV-18190
US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115
US-2014-134971,06-07-14,06-10-14,Second Class,BP-11095
CA-2017-102946,6/30/2017,07-05-17,Standard Class,VP-21730
CA-2017-165603,10/17/2017,10/19/2017,Second Class,SS-20140
CA-2015-122259,10/31/2015,11-04-15,Standard Class,HP-14815
CA-2016-108987,09-08-16,09-10-16,Second Class,AG-10675
CA-2014-113166,12/24/2014,12/26/2014,First Class,LF-17185
CA-2014-155208,4/16/2014,4/20/2014,Standard Class,SP-20650
CA-2017-117933,12/24/2017,12/29/2017,Standard Class,RF-19840
CA-2017-117457,12-08-17,12-12-17,Standard Class,KH-16510
CA-2017-142636,11-03-17,11-07-17,Standard Class,KC-16675
CA-2017-122105,6/24/2017,6/28/2017,Standard Class,CJ-12010
CA-2016-148796,4/14/2016,4/18/2016,Standard Class,PB-19150
CA-2017-154816,11-06-17,11-10-17,Standard Class,VB-21745
CA-2017-110478,03-04-17,03-09-17,Standard Class,SP-20860
CA-2014-142048,6/22/2014,6/25/2014,First Class,JE-15745
CA-2017-125388,10/19/2017,10/23/2017,Standard Class,MP-17965
CA-2017-155705,8/21/2017,8/23/2017,Second Class,NF-18385
CA-2017-149160,11/23/2017,11/26/2017,Second Class,JM-15265
CA-2014-101476,09-12-14,9/13/2014,First Class,SD-20485
CA-2017-152275,10-01-17,10-08-17,Standard Class,KH-16630
US-2016-123750,4/15/2016,4/21/2016,Standard Class,RB-19795
CA-2016-127369,06-06-16,06-07-16,First Class,DB-13060
US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160
CA-2016-147375,06-12-16,6/14/2016,Second Class,PO-19180
CA-2017-130043,9/15/2017,9/19/2017,Standard Class,BB-11545
CA-2017-157252,1/20/2017,1/23/2017,Second Class,CV-12805
CA-2016-115756,09-05-16,09-07-16,Second Class,PK-19075
CA-2017-154214,3/20/2017,3/25/2017,Second Class,TB-21595
CA-2016-166674,04-01-16,04-03-16,Second Class,RB-19360
CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705
CA-2016-100153,12/13/2016,12/17/2016,Standard Class,KH-16630
US-2014-110674,02-12-14,2/18/2014,Standard Class,SC-20095
US-2016-157945,9/26/2016,10-01-16,Standard Class,NF-18385
CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985
CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
US-2015-101399,1/17/2015,1/24/2015,Standard Class,JS-15940
CA-2017-154907,3/31/2017,04-04-17,Standard Class,DS-13180
US-2016-100419,12/16/2016,12/20/2016,Second Class,CC-12670
CA-2015-154144,12/20/2015,12/24/2015,Standard Class,MH-17785
CA-2014-144666,11-09-14,11-11-14,Second Class,JP-15520
CA-2016-103891,07-12-16,7/19/2016,Standard Class,KH-16690
CA-2016-152632,10/27/2016,11-02-16,Standard Class,JE-15475
CA-2016-100790,6/26/2016,07-02-16,Standard Class,JG-15805
CA-2014-134677,10-06-14,10-10-14,Standard Class,XP-21865
CA-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065
CA-2017-140963,06-10-17,6/13/2017,First Class,MT-18070
CA-2014-154627,10/29/2014,10/31/2014,First Class,SA-20830
CA-2014-133753,06-09-14,6/13/2014,Second Class,CW-11905
CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960
CA-2016-169166,05-09-16,5/14/2016,Standard Class,SS-20590
US-2016-120929,3/18/2016,3/21/2016,Second Class,RO-19780
CA-2015-134782,12/27/2015,12/31/2015,Standard Class,MD-17350
CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
US-2016-105578,5/30/2016,06-04-16,Standard Class,MY-17380
CA-2017-134978,11-12-17,11/15/2017,Second Class,EB-13705
CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385
CA-2017-135307,11/26/2017,11/27/2017,First Class,LS-17245
CA-2016-106341,10/20/2016,10/23/2016,First Class,LF-17185
CA-2017-163405,12/21/2017,12/25/2017,Standard Class,BN-11515
CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180
CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210
CA-2017-145142,1/23/2017,1/25/2017,First Class,MC-17605
US-2016-139486,5/21/2016,5/23/2016,First Class,LH-17155
CA-2015-158792,12/26/2015,01-02-16,Standard Class,BD-11605
CA-2017-113558,10/21/2017,10/26/2017,Standard Class,PH-18790
US-2015-138303,09-03-15,09-07-15,Standard Class,MG-18145
CA-2015-102848,11-07-15,11-09-15,Second Class,KB-16240
US-2017-129441,09-07-17,09-11-17,Standard Class,JC-15340
CA-2016-168753,5/29/2016,06-01-16,Second Class,RL-19615
CA-2016-126613,07-10-16,7/16/2016,Standard Class,AA-10375
US-2017-122637,09-03-17,09-08-17,Second Class,EP-13915
CA-2015-147851,12-03-15,12-08-15,Standard Class,MP-17470
CA-2015-134894,12-07-15,12-11-15,Standard Class,DK-12985
CA-2014-140795,02-01-14,02-03-14,First Class,BD-11500
CA-2016-136924,7/14/2016,7/17/2016,First Class,ES-14080
US-2015-120161,12/18/2015,12/23/2015,Standard Class,LM-17065
CA-2014-103849,05-11-14,5/16/2014,Standard Class,PG-18895
CA-2017-162929,11/19/2017,11/22/2017,First Class,AS-10135
CA-2015-113173,11/15/2015,11/17/2015,Second Class,DK-13225
CA-2016-136406,4/15/2016,4/17/2016,Second Class,BD-11320
CA-2017-112774,09-11-17,09-12-17,First Class,RC-19960
CA-2017-101945,11/24/2017,11/28/2017,Standard Class,GT-14710
CA-2017-100650,6/29/2017,07-03-17,Second Class,DK-13225
CA-2014-155852,03-03-14,03-07-14,Second Class,AJ-10945
CA-2016-113243,06-10-16,6/15/2016,Standard Class,OT-18730
CA-2017-118731,11/20/2017,11/22/2017,Second Class,LP-17080
CA-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775
CA-2015-130736,12-07-15,12-09-15,First Class,JF-15490
CA-2017-137099,12-07-17,12-10-17,First Class,FP-14320
CA-2017-156951,10-01-17,10-08-17,Standard Class,EB-13840
CA-2017-164826,12/28/2017,01-04-18,Standard Class,JF-15415
CA-2016-127250,11-03-16,11-07-16,Standard Class,SF-20200
CA-2015-149713,9/18/2015,9/22/2015,Second Class,TG-21640
CA-2017-118640,7/20/2017,7/26/2017,Standard Class,CS-11950
CA-2015-132906,09-10-15,9/14/2015,Standard Class,CC-12145
CA-2017-145233,12-01-17,12-05-17,Standard Class,DV-13465
CA-2015-128139,07-03-15,07-09-15,Standard Class,BD-11725
US-2016-156986,3/20/2016,3/24/2016,Standard Class,ZC-21910
CA-2014-135405,01-09-14,1/13/2014,Standard Class,MS-17830
CA-2014-131450,08-08-14,8/15/2014,Standard Class,LR-16915
CA-2016-120180,7/14/2016,7/16/2016,First Class,TP-21130
US-2016-100720,7/16/2016,7/21/2016,Standard Class,CK-12205
CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240
US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510
CA-2016-161816,4/28/2016,05-01-16,First Class,NB-18655
CA-2016-121223,09-11-16,9/13/2016,Second Class,GD-14590
CA-2017-138611,11/14/2017,11/17/2017,Second Class,CK-12595
CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
US-2014-111171,12/26/2014,12/31/2014,Standard Class,CA-12265
CA-2015-138009,11/29/2015,12-03-15,Standard Class,SF-20965
CA-2017-163020,9/15/2017,9/19/2017,Standard Class,MO-17800
CA-2017-153787,5/19/2017,5/23/2017,Standard Class,AT-10735
CA-2017-133431,12/17/2017,12/21/2017,Standard Class,LC-17140
US-2016-135720,12-11-16,12/13/2016,Second Class,FM-14380
CA-2017-144694,9/24/2017,9/26/2017,Second Class,BD-11605
CA-2015-168004,10-04-15,10-09-15,Second Class,DJ-13420
US-2016-123470,8/15/2016,8/21/2016,Standard Class,ME-17725
CA-2016-115917,5/20/2016,5/25/2016,Standard Class,RB-19465
CA-2016-147067,12/18/2016,12/22/2016,Standard Class,JD-16150
CA-2017-167913,7/30/2017,08-03-17,Second Class,JL-15835
CA-2017-106103,06-10-17,6/15/2017,Standard Class,SC-20305
US-2017-127719,7/21/2017,7/25/2017,Standard Class,TW-21025
CA-2017-126221,12/30/2017,01-05-18,Standard Class,CC-12430
CA-2016-103947,04-01-16,04-08-16,Standard Class,BB-10990
CA-2016-160745,12-11-16,12/16/2016,Second Class,AR-10825
CA-2016-132661,10/23/2016,10/29/2016,Standard Class,SR-20740
CA-2017-140844,6/19/2017,6/23/2017,Standard Class,AR-10405
CA-2016-137239,8/22/2016,8/28/2016,Standard Class,CR-12730
US-2016-156097,9/19/2016,9/19/2016,Same Day,EH-14125
CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025
CA-2016-123666,3/26/2016,3/30/2016,Standard Class,SP-20545
CA-2016-143308,11-04-16,11-04-16,Same Day,RC-19825
CA-2017-132682,06-08-17,06-10-17,Second Class,TH-21235
CA-2014-156314,12/24/2014,12/26/2014,First Class,RP-19390
US-2017-106663,06-09-17,6/13/2017,Standard Class,MO-17800
CA-2017-111178,6/15/2017,6/22/2017,Standard Class,TD-20995
CA-2017-130351,12-05-17,12-08-17,First Class,RB-19570
US-2017-119438,3/18/2017,3/23/2017,Standard Class,CD-11980
CA-2016-164511,11/19/2016,11/24/2016,Standard Class,DJ-13630
US-2017-168116,11-04-17,11-04-17,Same Day,GT-14635
CA-2014-157784,07-05-14,07-08-14,First Class,MC-17845
CA-2017-161480,12/25/2017,12/29/2017,Standard Class,RA-19285
US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325
CA-2015-131534,3/28/2015,04-02-15,Standard Class,AB-10165
CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
CA-2017-114552,09-02-17,09-08-17,Standard Class,Dl-13600
CA-2016-163755,11-04-16,11-08-16,Second Class,AS-10285
CA-2015-142027,04-09-15,4/14/2015,Standard Class,JK-15370
CA-2014-138527,09-12-14,9/17/2014,Standard Class,BN-11470
CA-2014-112158,12-02-14,12-04-14,First Class,DP-13165
CA-2014-113887,04-05-14,04-07-14,First Class,TH-21550
CA-2017-146136,09-03-17,09-07-17,Standard Class,AP-10915
US-2017-100048,5/19/2017,5/24/2017,Standard Class,RS-19765
CA-2014-153150,07-01-14,07-06-14,Second Class,Dl-13600
CA-2014-130092,01-11-14,1/14/2014,First Class,SV-20365
CA-2017-108910,9/24/2017,9/29/2017,Standard Class,KC-16540
CA-2014-104472,06-02-14,06-07-14,Standard Class,CK-12325
CA-2016-112942,2/13/2016,2/18/2016,Standard Class,RD-19810
CA-2016-142335,12/15/2016,12/19/2016,Standard Class,MP-17965
CA-2014-117429,10-07-14,10/13/2014,Standard Class,MR-17545
CA-2016-114713,07-07-16,07-12-16,Standard Class,SC-20695
CA-2017-144113,9/16/2017,9/20/2017,Standard Class,JF-15355
US-2016-150861,12-03-16,12-06-16,First Class,EG-13900
CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
CA-2014-132500,09-08-14,09-12-14,Standard Class,GZ-14470
CA-2014-112326,01-04-14,01-08-14,Standard Class,PO-19195
US-2016-146710,8/27/2016,09-01-16,Standard Class,SS-20875
CA-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785
CA-2016-150889,3/20/2016,3/22/2016,Second Class,PB-19105
CA-2017-126074,10-02-17,10-06-17,Standard Class,RF-19735
CA-2016-110499,04-07-16,04-09-16,First Class,YC-21895
CA-2015-135272,12-07-15,12-12-15,Standard Class,MS-17830
CA-2016-140928,9/18/2016,9/22/2016,Standard Class,NB-18655
CA-2014-106803,12/29/2014,01-02-15,Standard Class,DC-13285
CA-2017-117240,7/23/2017,7/28/2017,Standard Class,CP-12340
CA-2017-133333,9/18/2017,9/22/2017,Standard Class,BF-11020
CA-2015-112319,8/31/2015,09-05-15,Standard Class,AR-10510
CA-2017-126046,11-03-17,11-07-17,Standard Class,JC-16105
CA-2015-114923,02-08-15,2/13/2015,Standard Class,LH-17020
CA-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250
CA-2014-106810,5/14/2014,5/20/2014,Standard Class,AJ-10795
CA-2016-157245,5/19/2016,5/24/2016,Standard Class,LE-16810
CA-2017-104220,1/30/2017,02-05-17,Standard Class,BV-11245
CA-2014-165974,6/29/2014,07-06-14,Standard Class,DL-12865
CA-2015-144267,8/21/2015,8/23/2015,First Class,NZ-18565
US-2015-157014,10-03-15,10-06-15,Second Class,BM-11785
CA-2015-154921,5/23/2015,5/28/2015,Standard Class,EA-14035
CA-2017-129567,3/17/2017,3/21/2017,Second Class,CL-12565
CA-2015-154620,12-12-15,12/16/2015,Standard Class,LT-17110
CA-2015-115938,6/26/2015,6/30/2015,Standard Class,SA-20830
CA-2016-105256,5/20/2016,5/20/2016,Same Day,JK-15730
CA-2014-156433,9/20/2014,9/26/2014,Standard Class,ES-14020
CA-2017-151428,9/21/2017,9/26/2017,Standard Class,RH-19495
CA-2015-124653,12/24/2015,12/26/2015,First Class,DB-13120
CA-2015-101910,11/27/2015,12-03-15,Standard Class,CD-11920
CA-2017-105809,2/20/2017,2/23/2017,First Class,HW-14935
CA-2016-136133,8/18/2016,8/23/2016,Second Class,HW-14935
CA-2016-115504,03-12-16,3/17/2016,Standard Class,MC-18130
CA-2017-135783,4/22/2017,4/24/2017,First Class,GM-14440
CA-2014-134313,11-01-14,11-07-14,Standard Class,RA-19915
CA-2015-140921,02-03-15,02-05-15,First Class,AA-10375
CA-2014-151995,10/13/2014,10/15/2014,First Class,ZC-21910
CA-2017-143686,5/14/2017,5/14/2017,Same Day,PJ-19015
CA-2015-106565,3/20/2015,3/23/2015,First Class,BW-11110
CA-2016-149370,9/15/2016,9/19/2016,Standard Class,DB-13210
CA-2014-140858,6/28/2014,07-02-14,Standard Class,CA-12775
CA-2017-101434,6/20/2017,6/27/2017,Standard Class,TR-21325
US-2014-102071,05-09-14,5/15/2014,Standard Class,PG-18820
CA-2017-126956,8/21/2017,8/28/2017,Standard Class,GT-14710
CA-2017-129462,6/16/2017,6/21/2017,Second Class,JE-15745
CA-2016-165316,7/23/2016,7/27/2016,Standard Class,JB-15400
US-2014-115987,09-08-14,9/13/2014,Second Class,LH-17020
US-2017-156083,11-04-17,11-11-17,Standard Class,JL-15175
US-2016-137547,03-07-16,03-12-16,Standard Class,EB-13705
CA-2015-100454,11/20/2015,11/25/2015,Standard Class,BM-11650
CA-2016-161669,11-07-16,11-09-16,First Class,EM-14095
CA-2015-114300,10/13/2015,10/17/2015,Standard Class,AF-10885
CA-2017-107503,01-01-17,01-06-17,Standard Class,GA-14725
CA-2014-107755,02-07-14,02-12-14,Standard Class,CK-12760
CA-2016-152534,6/20/2016,6/25/2016,Second Class,DP-13105
CA-2016-113747,5/28/2016,06-04-16,Standard Class,VD-21670
CA-2016-123274,2/19/2016,2/24/2016,Standard Class,GT-14710
CA-2014-125612,08-03-14,08-08-14,Standard Class,BK-11260
CA-2017-161984,04-10-17,4/15/2017,Standard Class,SJ-20125
CA-2014-133851,06-09-14,6/16/2014,Standard Class,CM-12445
CA-2016-134474,01-05-16,01-07-16,Second Class,AJ-10795
CA-2014-149020,01-10-14,1/15/2014,Standard Class,AJ-10780
CA-2016-134362,9/29/2016,10-02-16,First Class,LS-16945
CA-2014-136742,04-06-14,04-10-14,Standard Class,GP-14740
CA-2016-158099,09-03-16,09-05-16,First Class,PK-18910
CA-2015-131128,10/19/2015,10/20/2015,First Class,TB-21520
CA-2014-148488,12-10-14,12/15/2014,Standard Class,SM-20005
CA-2017-114636,8/25/2017,8/29/2017,Standard Class,GA-14725
CA-2016-116736,1/17/2016,1/21/2016,Standard Class,CC-12430
US-2014-158638,9/17/2014,9/21/2014,Standard Class,AG-10765
CA-2017-111689,11/30/2017,12-02-17,Second Class,HP-14815
CA-2015-129098,10-09-15,10/13/2015,Standard Class,DK-13090
